GC_Content,AT_Content,Sequence_Length,Num_A,Num_T,Num_C,Num_G,kmer_3_freq,Mutation_Flag,Class_Label,Disease_Risk,Possible_Diseases
49.09,50.91,110,23,33,20,34,0.23,0,HUMAN,LOW,"['Common Cold', 'Seasonal Allergy', 'Flu', 'Skin Allergy', 'Mild Hypertension', 'Mild Joint Pain', 'Food Poisoning']"
59.0,41.0,100,21,20,25,34,0.25,1,ANIMAL,LOW,"['Common Cold', 'Seasonal Allergy', 'Flu', 'Skin Allergy', 'Mild Hypertension', 'Mild Joint Pain', 'Food Poisoning']"
44.68,55.32,94,23,29,22,20,0.2,0,ANIMAL,LOW,"['Common Cold', 'Seasonal Allergy', 'Flu', 'Skin Allergy', 'Mild Hypertension', 'Mild Joint Pain', 'Food Poisoning']"
44.57,55.43,92,34,17,18,23,0.24,0,ANIMAL,HIGH,"['Cancer', 'Diabetes', 'Heart Disease', 'Stroke', ""Alzheimer's"", 'Kidney Disease', 'Lung Disease']"
50.48,49.52,105,31,21,31,22,0.11,1,ANIMAL,HIGH,"['Cancer', 'Diabetes', 'Heart Disease', 'Stroke', ""Alzheimer's"", 'Kidney Disease', 'Lung Disease']"
50.56,49.44,89,20,24,27,18,0.15,1,HUMAN,LOW,"['Common Cold', 'Seasonal Allergy', 'Flu', 'Skin Allergy', 'Mild Hypertension', 'Mild Joint Pain', 'Food Poisoning']"
62.26,37.74,106,21,19,32,34,0.29,1,HUMAN,LOW,"['Common Cold', 'Seasonal Allergy', 'Flu', 'Skin Allergy', 'Mild Hypertension', 'Mild Joint Pain', 'Food Poisoning']"
36.36,63.64,99,32,31,20,16,0.18,1,ANIMAL,HIGH,"['Cancer', 'Diabetes', 'Heart Disease', 'Stroke', ""Alzheimer's"", 'Kidney Disease', 'Lung Disease']"
57.5,42.5,80,15,19,24,22,0.15,1,ANIMAL,HIGH,"['Cancer', 'Diabetes', 'Heart Disease', 'Stroke', ""Alzheimer's"", 'Kidney Disease', 'Lung Disease']"
56.7,43.3,97,25,17,29,26,0.24,0,HUMAN,LOW,"['Common Cold', 'Seasonal Allergy', 'Flu', 'Skin Allergy', 'Mild Hypertension', 'Mild Joint Pain', 'Food Poisoning']"
40.0,60.0,95,28,29,19,19,0.29,1,ANIMAL,HIGH,"['Cancer', 'Diabetes', 'Heart Disease', 'Stroke', ""Alzheimer's"", 'Kidney Disease', 'Lung Disease']"
55.46,44.54,119,27,26,32,34,0.1,1,ANIMAL,HIGH,"['Cancer', 'Diabetes', 'Heart Disease', 'Stroke', ""Alzheimer's"", 'Kidney Disease', 'Lung Disease']"
40.48,59.52,84,31,19,19,15,0.18,0,ANIMAL,HIGH,"['Cancer', 'Diabetes', 'Heart Disease', 'Stroke', ""Alzheimer's"", 'Kidney Disease', 'Lung Disease']"
43.81,56.19,105,34,25,17,29,0.14,0,ANIMAL,HIGH,"['Cancer', 'Diabetes', 'Heart Disease', 'Stroke', ""Alzheimer's"", 'Kidney Disease', 'Lung Disease']"
58.62,41.38,116,17,31,34,34,0.22,1,HUMAN,LOW,"['Common Cold', 'Seasonal Allergy', 'Flu', 'Skin Allergy', 'Mild Hypertension', 'Mild Joint Pain', 'Food Poisoning']"
53.92,46.08,102,32,15,22,33,0.17,1,ANIMAL,LOW,"['Common Cold', 'Seasonal Allergy', 'Flu', 'Skin Allergy', 'Mild Hypertension', 'Mild Joint Pain', 'Food Poisoning']"
40.0,60.0,85,33,18,16,18,0.24,1,HUMAN,LOW,"['Common Cold', 'Seasonal Allergy', 'Flu', 'Skin Allergy', 'Mild Hypertension', 'Mild Joint Pain', 'Food Poisoning']"
47.93,52.07,121,34,29,32,26,0.26,1,ANIMAL,HIGH,"['Cancer', 'Diabetes', 'Heart Disease', 'Stroke', ""Alzheimer's"", 'Kidney Disease', 'Lung Disease']"
